City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,28.09,83,75,6.17,TO,1675377098
1,Rikitea,-23.1203,-134.9692,26.33,70,79,5.96,PF,1675377098
2,Burgeo,47.6167,-57.6152,-5.6,76,100,6.58,CA,1675377099
3,Kamaishi,39.2667,141.8833,-3.01,62,44,2.33,JP,1675376808
4,Leland,34.2563,-78.0447,6.17,94,100,2.06,US,1675376948
5,Leh,34.1667,77.5833,-11.47,86,98,0.2,IN,1675377099
6,Hilo,19.7297,-155.09,30.16,68,0,5.14,US,1675376893
7,Arraial do Cabo,-22.9661,-42.0278,26.98,74,20,4.12,BR,1675377100
8,Cape Town,-33.9258,18.4232,19.23,69,0,9.77,ZA,1675376935
9,Hambantota,6.1241,81.1185,24.43,89,100,5.71,LK,1675377100
10,Provideniya,64.3833,-173.3,-8.94,67,75,7.0,RU,1675377101
11,Castro,-24.7911,-50.0119,18.47,96,100,3.45,BR,1675377102
12,Broken Hill,-31.95,141.4333,16.03,44,5,9.62,AU,1675377102
13,Port Alfred,-33.5906,26.891,20.66,92,25,1.79,ZA,1675377102
14,Punta Arenas,-53.15,-70.9167,18.06,45,0,12.35,CL,1675377103
15,Mareeba,-17.0,145.4333,26.4,89,81,1.97,AU,1675377103
16,Campoverde,-8.4753,-74.8058,27.83,88,96,0.93,PE,1675377103
17,Aklavik,68.2191,-135.0107,-36.0,68,20,2.57,CA,1675377104
18,Ushuaia,-54.8,-68.3,15.81,55,0,6.17,AR,1675377104
19,New Norfolk,-42.7826,147.0587,14.4,79,8,1.67,AU,1675377105
20,Butaritari,3.0707,172.7902,27.07,78,93,8.0,KI,1675377105
21,Broome,42.2506,-75.833,0.95,50,0,4.63,US,1675377105
22,George Town,5.4112,100.3354,24.97,99,20,1.54,MY,1675377024
23,Hobart,-42.8794,147.3294,14.59,75,20,5.66,AU,1675376835
24,Puerto Ayora,-0.7393,-90.3518,29.98,89,100,4.02,EC,1675377106
25,Mataura,-46.1927,168.8643,27.92,44,28,2.15,NZ,1675377106
26,Alvorada,-12.48,-49.1247,24.7,82,92,1.2,BR,1675377106
27,Yellowknife,62.456,-114.3525,-27.47,76,20,4.12,CA,1675377107
28,Tilichiki,60.4667,166.1,-21.97,97,66,4.01,RU,1675377107
29,Tasiilaq,65.6145,-37.6368,-5.91,88,100,1.47,GL,1675377107
30,Cherskiy,68.75,161.3,-27.92,100,97,1.18,RU,1675377108
31,Jamestown,42.097,-79.2353,1.77,41,0,7.72,US,1675376869
32,Carutapera,-1.195,-46.02,23.1,97,96,2.22,BR,1675377108
33,Linqiong,30.4159,103.4609,4.9,80,32,2.14,CN,1675377108
34,Cabo San Lucas,22.8909,-109.9124,23.12,59,40,2.57,MX,1675377109
35,Nikolskoye,59.7035,30.7861,-1.06,98,100,0.91,RU,1675377109
36,Petra,30.3222,35.4793,3.54,82,42,1.01,JO,1675376852
37,Lebu,-37.6167,-73.65,16.22,81,0,11.03,CL,1675377109
38,Kavieng,-2.5744,150.7967,28.77,71,86,2.6,PG,1675377110
39,Malbork,54.0359,19.0266,-0.62,78,58,3.78,PL,1675377110
40,Dve Mogili,43.6,25.8667,2.15,77,7,6.27,BG,1675377110
41,Årdalstangen,61.2371,7.6983,-2.9,82,100,3.3,NO,1675377111
42,Charters Towers,-20.1,146.2667,24.85,77,100,2.88,AU,1675377111
43,Hong Kong,22.2855,114.1577,17.4,82,77,4.92,HK,1675376857
44,Puerto Madryn,-42.7692,-65.0385,25.62,46,37,6.84,AR,1675377111
45,Gari,59.4307,62.3497,-16.02,99,90,2.11,RU,1675377112
46,Bisira,8.5196,-81.7115,15.83,83,92,3.83,PA,1675377112
47,Talnakh,69.4865,88.3972,-10.44,96,100,3.32,RU,1675377112
48,Ahipara,-35.1667,173.1667,23.71,86,98,3.93,NZ,1675377112
49,Ixtapa,20.7,-105.2,25.13,69,20,3.6,MX,1675377113
50,Norman Wells,65.282,-126.8329,-30.98,69,20,1.54,CA,1675377113
51,Albany,42.6001,-73.9662,0.93,45,18,3.06,US,1675376638
52,Bethel,41.3712,-73.414,2.58,42,0,3.6,US,1675377114
53,Cidreira,-30.1811,-50.2056,25.11,82,99,6.36,BR,1675377114
54,Mar del Plata,-38.0023,-57.5575,22.83,85,75,7.15,AR,1675376949
55,Port Hawkesbury,45.6169,-61.3485,-5.02,73,0,2.24,CA,1675377114
56,Laguna,38.421,-121.4238,16.09,53,0,2.57,US,1675377115
57,Guerrero Negro,27.9769,-114.0611,19.33,36,13,4.65,MX,1675377115
58,Herat Province,34.5,62.0,7.93,91,92,1.8,AF,1675377115
59,Solnechnyy,50.7214,136.6319,-27.27,99,32,1.46,RU,1675377116
60,Tuktoyaktuk,69.4541,-133.0374,-38.0,67,40,2.57,CA,1675377116
61,Soe,-9.8607,124.284,19.15,98,100,1.18,ID,1675377116
62,Mahébourg,-20.4081,57.7,25.7,88,40,1.03,MU,1675377117
63,Empório,40.4833,21.55,2.2,84,13,2.5,GR,1675377117
64,Trelew,-43.249,-65.3051,24.81,51,21,7.88,AR,1675377117
65,Avarua,-21.2078,-159.775,28.03,83,40,5.14,CK,1675377118
66,Chokurdakh,70.6333,147.9167,-26.14,99,99,1.66,RU,1675377118
67,Tirlyanskiy,54.2109,58.5806,-14.16,85,22,1.14,RU,1675377118
68,Fallon,39.4735,-118.7774,7.93,42,75,1.54,US,1675377119
69,Khovd,48.0056,91.6419,-19.34,86,6,0.35,MN,1675377119
70,Talaya,61.3833,152.75,-33.73,100,99,0.3,RU,1675377119
71,Pokhara,28.2333,83.9833,12.54,21,0,2.39,NP,1675377120
72,Coquimbo,-29.9533,-71.3436,17.85,82,40,5.66,CL,1675376950
73,Barrow,71.2906,-156.7887,-18.99,84,100,4.63,US,1675377120
74,São Lourenço do Sul,-31.3653,-51.9783,24.76,78,85,5.79,BR,1675377120
75,Carnarvon,-24.8667,113.6333,28.29,60,21,0.25,AU,1675377121
76,Maniitsoq,65.4167,-52.9,-13.22,84,100,5.81,GL,1675377121
77,Magadan,59.5667,150.8,-17.64,85,51,3.23,RU,1675377121
78,Saint George,37.1041,-113.5841,14.13,28,0,1.34,US,1675377029
79,Chabahar,25.2919,60.643,20.25,71,0,3.06,IR,1675377122
80,Grottaglie,40.5392,17.4337,8.69,79,1,2.36,IT,1675377122
81,Omsukchan,62.5333,155.8,-28.22,100,42,1.24,RU,1675377123
82,Rawson,-43.3002,-65.1023,22.62,65,26,7.01,AR,1675377123
83,Hasaki,35.7333,140.8333,3.22,68,100,7.36,JP,1675377124
84,Margate,51.3813,1.3862,10.49,80,50,1.34,GB,1675377125
85,Lompoc,34.6391,-120.4579,20.47,49,75,6.69,US,1675376947
86,Manokwari,-0.8667,134.0833,26.2,75,82,1.58,ID,1675377126
87,Dubti,11.7361,41.0853,25.72,55,42,6.31,ET,1675377128
88,Atuona,-9.8,-139.0333,26.0,79,66,9.84,PF,1675377128
89,Kahului,20.8947,-156.47,28.32,72,20,5.66,US,1675377129
90,Champerico,14.3,-91.9167,33.3,60,7,5.11,GT,1675377129
91,Quimper,48.0,-4.1,9.31,87,100,1.03,FR,1675377130
92,Bowen,-20.0167,148.2333,27.08,77,98,1.94,AU,1675377045
93,Terrasini,38.146,13.0844,11.23,80,0,3.6,IT,1675377130
94,Kapaa,22.0752,-159.319,25.99,83,17,2.68,US,1675377131
95,Severo-Kuril'sk,50.6789,156.125,-3.28,86,100,21.16,RU,1675377132
96,Tomatlán,19.9333,-105.25,31.54,30,12,4.51,MX,1675377132
97,Vila Velha,-20.3297,-40.2925,26.08,86,0,7.72,BR,1675377132
98,Tiksi,71.6872,128.8694,-33.81,98,83,3.29,RU,1675377133
99,Nieuw Nickerie,5.95,-56.9833,24.82,83,76,5.06,SR,1675377133
100,Vanimo,-2.6741,141.3028,27.41,74,100,0.64,PG,1675377134
101,Busselton,-33.65,115.3333,17.56,72,7,6.88,AU,1675377134
102,East London,-33.0153,27.9116,22.29,84,59,1.15,ZA,1675377068
103,Gorgan,36.8387,54.4348,2.98,81,0,0.0,IR,1675377135
104,Souillac,-20.5167,57.5167,25.21,88,40,1.03,MU,1675377135
105,Tura,25.5198,90.2201,13.54,61,16,1.74,IN,1675377135
106,Yumen,40.2833,97.2,-6.36,41,23,1.75,CN,1675377136
107,Ilulissat,69.2167,-51.1,-23.05,97,100,4.75,GL,1675377136
108,Saint-Leu,-21.15,55.2833,25.46,80,51,2.15,RE,1675377136
109,Flinders,-34.5833,150.8552,21.21,51,1,4.92,AU,1675377137
110,Upernavik,72.7868,-56.1549,-23.36,89,82,2.56,GL,1675377137
111,Kulhudhuffushi,6.6221,73.07,26.45,77,100,4.56,MV,1675377138
112,Khuzhir,53.1939,107.3397,-15.77,87,77,1.93,RU,1675377138
113,Adrar,20.5022,-10.0711,15.09,16,27,5.36,MR,1675377138
114,Fare,-16.7,-151.0167,27.12,78,1,8.39,PF,1675377139
115,Asău,46.4333,26.4,-3.49,92,45,2.85,RO,1675377139
116,Wuwei,37.9281,102.6414,-5.1,41,16,0.94,CN,1675377140
117,Quatre Cocos,-20.2078,57.7625,25.61,81,1,2.17,MU,1675377141
118,Burē,10.7,37.0667,15.32,42,58,2.0,ET,1675377141
119,Poum,-20.2333,164.0167,28.02,71,100,8.53,NC,1675377141
120,Sambava,-14.2667,50.1667,24.83,86,29,5.55,MG,1675376995
121,Thompson,55.7435,-97.8558,-27.91,63,20,5.14,CA,1675377142
122,Sept-Îles,50.2001,-66.3821,-9.97,90,100,3.6,CA,1675377143
123,Sulęcin,52.4443,15.1168,-1.84,87,100,1.87,PL,1675377143
124,Tūkrah,32.5341,20.5791,12.34,62,25,2.77,LY,1675377143
125,Ostrovnoy,68.0531,39.5131,-5.43,88,100,2.59,RU,1675377144
126,Balyqshy,47.0667,51.8667,-5.0,80,0,5.0,KZ,1675377145
127,Iqaluit,63.7506,-68.5145,-39.15,67,75,2.57,CA,1675377014
128,Dikson,73.5069,80.5464,-16.05,91,100,2.76,RU,1675377145
129,Mackay,-21.15,149.2,30.93,73,81,2.21,AU,1675377030
130,Nishihara,26.1842,127.7558,16.6,67,20,5.66,JP,1675377146
131,Clyde River,70.4692,-68.5914,-29.87,57,20,4.12,CA,1675377146
132,Havelock,34.8791,-76.9013,6.99,88,100,3.6,US,1675377147
133,Kathu,7.9178,98.3332,23.9,82,99,2.85,TH,1675377147
134,Bambous Virieux,-20.3428,57.7575,25.68,88,40,1.03,MU,1675377147
135,Leningradskiy,69.3833,178.4167,-30.46,100,100,2.33,RU,1675377148
136,West Richland,46.3043,-119.3614,5.68,58,0,0.89,US,1675376959
137,Alofi,-19.0595,-169.9187,25.94,89,100,3.09,NU,1675377149
138,Kemin,42.7846,75.6892,2.71,90,100,2.26,KG,1675377149
139,Tuatapere,-46.1333,167.6833,24.44,61,37,0.24,NZ,1675377149
140,Bluff,-46.6,168.3333,18.98,85,47,1.56,NZ,1675377150
141,General Roca,-39.0333,-67.5833,32.01,19,42,2.85,AR,1675377150
142,Plettenberg Bay,-34.0527,23.3716,19.03,82,79,1.06,ZA,1675377150
143,Hofn,64.2539,-15.2082,3.35,75,81,8.17,IS,1675377151
144,Ribeira Grande,38.5167,-28.7,15.99,85,8,8.94,PT,1675377151
145,Chapais,49.7834,-74.8492,-16.12,93,100,7.28,CA,1675377151
146,Lavrentiya,65.5833,-171.0,-18.04,93,11,3.15,RU,1675377151
147,Skjervøy,70.0311,20.9714,-9.0,72,96,3.69,NO,1675377152
148,Bonthe,7.5264,-12.505,25.44,89,49,3.17,SL,1675377152
149,‘Āhuimanu,21.4447,-157.8378,27.84,73,40,4.63,US,1675377152
